"sektor","naeti","osigbaza","srzapl","godina","quarter"
38,7288,31049628.94,1420.125729,2018,1
39,4392,13649034.37,1035.743995,2018,1
40,48688,128787424.2,881.713101,2018,1
41,10161,35422212.05,1162.031691,2018,1
42,22753,74458687.52,1090.793974,2018,1
43,45306,149309913.71,1098.521278,2018,1
44,605,1825966.72,1006.042269,2018,1
45,32898,100672938.75,1020.040921,2018,1
46,22291,46072788.3,688.949192,2018,1
47,26810,84724906.51,1053.373116,2018,1
48,2378,5738458.58,804.381634,2018,1
49,25047,140599338.92,1871.115207,2018,1
50,2029,12321496.18,2024.231342,2018,1
51,4222,17382502.32,1372.158377,2018,1
52,16862,48668423.72,962.092747,2018,1
53,15739,34632750.33,733.480533,2018,1
54,1315,6621395.07,1677.576658,2018,1
55,122777,254829801.88,691.846242,2018,1
56,14443,40800348.89,941.618945,2018,1
57,4610,9997407.79,722.8261,2018,1
58,342197,814438816.7,793.341486,2018,1
59,24493,81868105.88,1114.139789,2018,1
60,129220,214530309.07,553.395249,2018,1
61,24335,79532176.32,1089.377406,2018,1
62,94836,179684441.07,631.561998,2018,1
63,1164,3899118.8,1115.946994,2018,1
64,2459,13439410.89,1821.552031,2018,1
65,18823,79911853.32,1415.120476,2018,1
66,19705,44773419.96,757.395245,2018,1
67,21872,92993893.44,1417.244169,2018,1
68,58669,240680078.78,1367.44606,2018,1
69,207217,800483321.83,1287.673182,2018,1
70,55326,90453826.64,544.974795,2018,1
71,4684,22459707.19,1598.100696,2018,1
72,10626,21583303.18,677.059513,2018,1
73,23640,62372308.37,879.449372,2018,1
74,26515,59638827.55,749.749544,2018,1
75,38912,125027332.87,1071.026357,2018,1
76,8281,15983219.93,643.343259,2018,1
77,29467,63173412.89,714.615199,2018,1
78,22969,33377599.15,484.386189,2018,1
79,16173,43509241.32,896.746456,2018,1
80,631,2292106.96,1209.555124,2018,1
81,4611,9348333.97,675.701768,2018,1
82,8286,16688132.31,671.338495,2018,1
83,2545,15282707.87,2001.664423,2018,1
84,24667,80062331.31,1081.894155,2018,1
85,1491,3063293.45,684.534849,2018,1
99,321732,840935212.01,871.256687,2018,1
0,377,736959.36,651.024169,2013,2
1,61160,106026271.49,577.856528,2013,2
2,15771,29375434.62,620.874487,2013,2
3,277,376365.63,452.906895,2013,2
4,13064,51989592.81,1326.468153,2013,2
5,672,1626698.44,806.894067,2013,2
6,5765,22934148.56,1325.903252,2013,2
7,105,275066.58,867.717917,2013,2
8,559,1054941.08,628.315116,2013,2
9,226,371833.99,546.814691,2013,2
10,2544,5811283.72,761.33679,2013,2
11,30,54431.95,604.799444,2013,2
12,822,1942383.75,787.027451,2013,2
13,13498,19779555.07,488.444377,2013,2
14,4187,6883441.28,548.001057,2013,2
15,6642,9563705.29,479.96112,2013,2
16,2719,4934192.38,604.902829,2013,2
17,8467,13446475.09,529.347102,2013,2
18,2353,5594637,792.441501,2013,2
19,33341,45762399.03,457.509612,2013,2
20,6582,15136849.94,766.500402,2013,2
21,1629,3197607.95,654.175112,2013,2
22,5559,9049993.3,542.663146,2013,2
23,2489,9147011.17,1224.991451,2013,2
24,4461,10776464.9,805.175201,2013,2
25,3501,12801089.24,1218.803126,2013,2
