"oblast","obshtina","godina","naeti","godzaplata"
"Благоевград","total","2015","89286","7181"
"Благоевград","Банско","2015","4784","7067"
"Благоевград","Белица","2015","1056","6217"
"Благоевград","Благоевград","2015","26976","8544"
"Благоевград","Гоце Делчев","2015","12434","7182"
"Благоевград","Гърмен","2015","1924","6090"
"Благоевград","Кресна","2015","1092","6447"
"Благоевград","Петрич","2015","16373","6199"
"Благоевград","Разлог","2015","5246","7098"
"Благоевград","Сандански","2015","10216","6545"
"Благоевград","Сатовча","2015","3266","6201"
"Благоевград","Симитли","2015","1966","6176"
"Благоевград","Струмяни","2015","919","5932"
"Благоевград","Хаджидимово","2015","2023","6186"
"Благоевград","Якоруда","2015","1011","6399"
"Кюстендил","total","2015","30900","7486"
"Кюстендил","Бобов дол","2015","4752","9455"
"Кюстендил","Бобошево","2015","268","6005"
"Кюстендил","Дупница","2015","10014","8022"
"Кюстендил","Кочериново","2015","672","5143"
"Кюстендил","Кюстендил","2015","13032","6730"
"Кюстендил","Невестино","2015","341","6745"
"Кюстендил","Рила","2015","656","6553"
"Кюстендил","Сапарева баня","2015","1064","5598"
"Кюстендил","Трекляно","2015","101","6593"
"Перник","total","2015","27560","7514"
"Перник","Брезник","2015","1000","6570"
"Перник","Земен","2015","293","7909"
"Перник","Ковачевци","2015","184","5683"
"Перник","Перник","2015","21447","7674"
"Перник","Радомир","2015","4158","7019"
"Перник","Трън","2015","478","7097"
"София","total","2015","59397","10507"
"София","Антон","2015","177","6326"
"София","Божурище","2015","2021","11157"
"София","Ботевград","2015","11196","10115"
"София","Годеч","2015","1387","9413"
"София","Горна Малина","2015","626","7845"
"София","Долна баня","2015","633","9028"
"София","Драгоман","2015","1051","8327"
"София","Елин Пелин","2015","8271","12638"
"София","Етрополе","2015","2550","6852"
"София","Златица","2015","820","7275"
"София","Ихтиман","2015","2567","8590"
"София","Копривщица","2015","363","6848"
"София","Костенец","2015","2246","7143"
"София","Костинброд","2015","5692","11994"
"София","Мирково","2015","..",".."
"София","Пирдоп","2015","2957","16303"
"София","Правец","2015","1569","7702"
"София","Самоков","2015","7888","7200"
"София","Своге","2015","2676","8343"
"София","Сливница","2015","1381","8330"
"София","Чавдар","2015","..",".."
"София","Челопеч","2015","1238","24497"
"София (столица)","total","2015","707299","14531"
"София (столица)","Столична","2015","707299","14531"
"Кърджали","total","2015","30498","7648"
"Кърджали","Ардино","2015","1791","6219"
"Кърджали","Джебел","2015","1584","7991"
"Кърджали","Кирково","2015","2549","6398"
"Кърджали","Крумовград","2015","2063","7217"
"Кърджали","Кърджали","2015","18538","8215"
"Кърджали","Момчилград","2015","2939","6765"
"Кърджали","Черноочене","2015","1034","5869"
"Пазарджик","total","2015","61129","8006"
"Пазарджик","Батак","2015","1610","8357"
"Пазарджик","Белово","2015","1446","8010"
"Пазарджик","Брацигово","2015","1135","5776"
"Пазарджик","Велинград","2015","7374","6844"
"Пазарджик","Лесичово","2015","675","5971"
"Пазарджик","Пазарджик","2015","27949","7616"
"Пазарджик","Панагюрище","2015","7622","12757"
"Пазарджик","Пещера","2015","6111","7084"
"Пазарджик","Ракитово","2015","1788","6021"
"Пазарджик","Септември","2015","3753","8206"
"Пазарджик","Стрелча","2015","657","6016"
"Пазарджик","Сърница","2015","1009","4270"
"Пловдив","total","2015","208990","9084"
"Пловдив","Асеновград","2015","11984","7059"
"Пловдив","Брезово","2015","929","9008"
"Пловдив","Калояново","2015","1604","7712"
"Пловдив","Карлово","2015","8057","7109"
"Пловдив","Кричим","2015","1354","7460"
"Пловдив","Куклен","2015","1147","8758"
"Пловдив","Лъки","2015","1117","10424"
"Пловдив","Марица","2015","11251","10182"
"Пловдив","Перущица","2015","984","6589"
"Пловдив","Пловдив","2015","136975","9548"
"Пловдив","Първомай","2015","5065","7180"
"Пловдив","Раковски","2015","6916","9628"
"Пловдив","Родопи","2015","4587","7231"
"Пловдив","Садово","2015","2349","6986"
"Пловдив","Сопот","2015","5492","8224"
"Пловдив","Стамболийски","2015","2845","8223"
"Пловдив","Съединение","2015","3998","9055"
"Пловдив","Хисаря","2015","2336","7679"
"Смолян","total","2015","31145","7679"
"Смолян","Баните","2015","633","5907"
"Смолян","Борино","2015","654","5958"
"Смолян","Девин","2015","2766","9811"
"Смолян","Доспат","2015","2205","6285"
"Смолян","Златоград","2015","3107","7089"
"Смолян","Мадан","2015","3086","7605"
"Смолян","Неделино","2015","856","5379"
"Смолян","Рудозем","2015","2213","6985"
"Смолян","Смолян","2015","13129","7886"
"Смолян","Чепеларе","2015","2496","8558"
"Хасково","total","2015","52447","7422"
"Хасково","Димитровград","2015","12248","7843"
"Хасково","Ивайловград","2015","995","6502"
"Хасково","Любимец","2015","1144","6540"
"Хасково","Маджарово","2015","131","6721"
"Хасково","Минерални бани","2015","751","5747"
"Хасково","Свиленград","2015","5417","7341"
"Хасково","Симеоновград","2015","650","6842"
"Хасково","Стамболово","2015","669","5833"
"Хасково","Тополовград","2015","1167","6904"
"Хасково","Харманли","2015","4322","6762"
"Хасково","Хасково","2015","24953","7560"
"Видин","total","2016","16474","7522"
"Видин","Белоградчик","2016","1000","7327"
"Видин","Бойница","2016","185","6821"
"Видин","Брегово","2016","547","7673"
