Брутен вътрешен продукт;По цени на 2015 г.;1996Q2;млн. лв.;14158;
Брутен вътрешен продукт;По цени на 2015 г.;1996Q3;млн. лв.;16611;
Брутен вътрешен продукт;По цени на 2015 г.;1996Q4;млн. лв.;17458;
Брутен вътрешен продукт;По цени на 2015 г.;1997Q1;млн. лв.;11099;
Брутен вътрешен продукт;По цени на 2015 г.;1997Q2;млн. лв.;11599;
Брутен вътрешен продукт;По цени на 2015 г.;1997Q3;млн. лв.;14888;
Брутен вътрешен продукт;По цени на 2015 г.;1997Q4;млн. лв.;15183;
Брутен вътрешен продукт;По цени на 2015 г.;1998Q1;млн. лв.;12275;
Брутен вътрешен продукт;По цени на 2015 г.;1998Q2;млн. лв.;11884;
Брутен вътрешен продукт;По цени на 2015 г.;1998Q3;млн. лв.;15222;
Брутен вътрешен продукт;По цени на 2015 г.;1998Q4;млн. лв.;15651;
Брутен вътрешен продукт;По цени на 2015 г.;1999Q1;млн. лв.;11149;
Брутен вътрешен продукт;По цени на 2015 г.;1999Q2;млн. лв.;11187;
Брутен вътрешен продукт;По цени на 2015 г.;1999Q3;млн. лв.;14203;
Брутен вътрешен продукт;По цени на 2015 г.;1999Q4;млн. лв.;13935;
Брутен вътрешен продукт;По цени на 2015 г.;2000Q1;млн. лв.;11411;
Брутен вътрешен продукт;По цени на 2015 г.;2000Q2;млн. лв.;12146;
Брутен вътрешен продукт;По цени на 2015 г.;2000Q3;млн. лв.;14632;
Брутен вътрешен продукт;По цени на 2015 г.;2000Q4;млн. лв.;14698;
Брутен вътрешен продукт;По цени на 2015 г.;2001Q1;млн. лв.;11803;
Брутен вътрешен продукт;По цени на 2015 г.;2001Q2;млн. лв.;12560;
Брутен вътрешен продукт;По цени на 2015 г.;2001Q3;млн. лв.;15229;
Брутен вътрешен продукт;По цени на 2015 г.;2001Q4;млн. лв.;15315;
Брутен вътрешен продукт;По цени на 2015 г.;2002Q1;млн. лв.;12449;
Брутен вътрешен продукт;По цени на 2015 г.;2002Q2;млн. лв.;13350;
Брутен вътрешен продукт;По цени на 2015 г.;2002Q3;млн. лв.;16139;
Брутен вътрешен продукт;По цени на 2015 г.;2002Q4;млн. лв.;16238;
Брутен вътрешен продукт;По цени на 2015 г.;2003Q1;млн. лв.;13134;
Брутен вътрешен продукт;По цени на 2015 г.;2003Q2;млн. лв.;14034;
Брутен вътрешен продукт;По цени на 2015 г.;2003Q3;млн. лв.;16741;
