"oblast","ikonaktiwni","regbezr","postypilinarab","regbezrdo29","regbezrnad1g","zaqwenimesta","swobodnimesta","bezrzamqsto","rawnishtenabezr","period"
"Бургас","188448","10104","2310","1473","1948","5164","6809","1",5.36,"201704"
"Варна","222697","11120","2201","1578","2853","1666","2461","3",4.99,"201704"
"Велико Търново","108453","7783","1184","1020","2627","967","1328","4",7.18,"201704"
"Видин","37828","6865","451","942","4105","224","425","10",18.15,"201704"
"Враца","74912","11647","818","1827","6230","456","492","12",15.55,"201704"
"Габрово","54178","2589","381","349","512","252","218","6",4.78,"201704"
"Добрич","79873","6027","1381","692","1849","1808","1514","3",7.55,"201704"
"Кърджали","60746","6919","501","651","3232","276","654","8",11.39,"201704"
"Кюстендил","56911","5652","662","995","1906","544","1191","4",9.93,"201704"
"Ловеч","55868","6968","615","1028","3077","350","733","7",12.47,"201704"
"Монтана","60045","9630","567","1419","5537","323","638","11",16.04,"201704"
"Пазарджик","115297","12417","933","1721","5761","1294","1491","6",10.77,"201704"
"Перник","60837","3649","415","492","1039","193","209","8",6,"201704"
"Плевен","107641","12787","1066","1817","6312","375","1318","7",11.88,"201704"
"Пловдив","302681","17723","1548","3051","5174","1922","2393","5",5.86,"201704"
"Разград","52154","6494","421","733","3373","229","253","16",12.45,"201704"
"Русе","102880","6714","536","857","2648","612","1332","3",6.53,"201704"
"Силистра","45518","6287","495","804","3151","215","522","9",13.81,"201704"
"Сливен","78097","10637","579","1774","5179","313","375","14",13.62,"201704"
"Смолян","58440","7083","709","597","2964","592","611","6",12.12,"201704"
"Софийска","109181","9640","819","1691","4070","850","1125","6",8.83,"201704"
"гр. София","665475","14990","2120","2020","813","2764","3971","3",2.25,"201704"
"Стара Загора","147697","8655","797","1466","2660","748","931","6",5.86,"201704"
"Търговище","49168","7045","496","714","4040","214","194","16",14.33,"201704"
"Хасково","104465","8952","752","1200","2740","566","756","8",8.57,"201704"
"Шумен","76138","9852","751","1238","5143","466","494","11",12.94,"201704"
"Ямбол","55779","5214","465","764","2202","361","493","7",9.35,"201704"
"Благоевград","151333","15095","1475","2189","5888","1114","1794","10",9.97,"201705"
"Бургас","188448","8037","2323","1157","1802","2710","3069","9",4.26,"201705"
"Варна","222697","9468","2203","1291","2596","1880","2634","9",4.25,"201705"
"Велико Търново","108453","7354","1062","883","2526","843","1327","8",6.78,"201705"
"Видин","37828","6535","490","856","3945","248","299","16",17.28,"201705"
"Враца","74912","11193","744","1668","5975","525","464","16",14.94,"201705"
"Габрово","54178","2482","365","305","486","342","266","6",4.58,"201705"
"Добрич","79873","5083","1100","579","1718","899","988","12",6.36,"201705"
"Кърджали","60746","6609","672","576","3070","449","674","7",10.88,"201705"
"Кюстендил","56911","5487","768","896","1799","500","934","4",9.64,"201705"
"Ловеч","55868","6549","746","962","2892","511","697","6",11.72,"201705"
"Монтана","60045","9329","660","1395","5308","587","706","8",15.54,"201705"
"Пазарджик","115297","11497","1202","1509","5395","934","1126","6",9.97,"201705"
"Перник","60837","3531","364","455","949","320","244","8",5.8,"201705"
"Плевен","107641","12154","1096","1647","6036","632","1345","7",11.29,"201705"
"Пловдив","302681","16944","1655","2845","4935","1961","2309","5",5.6,"201705"
"Разград","52154","6186","470","691","3227","370","209","11",11.86,"201705"
"Русе","102880","6523","521","811","2577","601","1457","4",6.34,"201705"
"Силистра","45518","5977","469","763","3036","389","588","7",13.13,"201705"
"Сливен","78097","9985","760","1646","4949","513","347","13",12.79,"201705"
"Смолян","58440","6397","934","501","2724","795","572","5",10.95,"201705"
"Софийска","109181","9222","968","1569","3884","937","1359","5",8.45,"201705"
"гр. София","665475","14548","2276","1952","782","2770","3939","3",2.19,"201705"
"Стара Загора","147697","8191","1015","1359","2482","1104","1194","5",5.55,"201705"
"Търговище","49168","6767","446","674","3901","448","313","12",13.76,"201705"
"Хасково","104465","8375","750","1066","2554","548","631","7",8.02,"201705"
"Шумен","76138","9427","711","1190","4920","585","364","10",12.38,"201705"
"Ямбол","55779","4884","505","723","2102","335","325","7",8.76,"201705"
"Благоевград","151333","14472","1419","2050","5628","1446","2033","5",9.56,"201706"
"Бургас","188448","6934","1433","984","1649","2106","1525","2",3.68,"201706"
"Варна","222697","8623","1525","1160","2400","1478","1950","3",3.87,"201706"
"Велико Търново","108453","6915","1074","871","2356","996","1202","4",6.38,"201706"
"Видин","37828","6476","304","826","3905","180","291","15",17.12,"201706"
"Враца","74912","10789","614","1631","5805","384","485","14",14.4,"201706"
"Габрово","54178","2337","395","293","437","406","319","4",4.31,"201706"
"Добрич","79873","4407","974","566","1592","1013","923","3",5.52,"201706"
