"oblast","ikonaktiwni","regbezr","postypilinarab","regbezrdo29","regbezrnad1g","zaqwenimesta","swobodnimesta","bezrzamqsto","rawnishtenabezr","period"
"Благоевград","151333","21655","1222","4391","7631","1370","2125","1",14.31,"201309"
"Бургас","188448","13657","799","2974","3171","729","499","1",7.25,"201309"
"Варна","222697","14562","1149","3033","3362","776","386","1",6.54,"201309"
"Велико Търново","108453","10892","1091","2014","3254","1132","441","1",10.04,"201309"
"Видин","37828","7881","1053","1629","2652","1278","237","1",20.83,"201309"
"Враца","74912","14901","1403","3182","5368","1384","270","1",19.89,"201309"
"Габрово","54178","3579","322","576","857","357","325","1",6.61,"201309"
"Добрич","79873","8719","438","1458","2888","411","181","1",10.92,"201309"
"Кърджали","60746","9518","392","1213","4198","504","620","1",15.67,"201309"
"Кюстендил","56911","8097","788","1643","2935","865","368","1",14.23,"201309"
"Ловеч","55868","8856","610","1741","3505","558","395","1",15.85,"201309"
"Монтана","60045","11873","1223","2475","4458","1195","277","1",19.77,"201309"
"Пазарджик","115297","18231","795","3789","7474","701","246","1",15.81,"201309"
"Перник","60837","6211","413","1281","1485","322","115","1",10.21,"201309"
"Плевен","107641","17493","1517","3472","6428","1504","928","1",16.25,"201309"
"Пловдив","302681","29552","1447","6816","10200","1327","1173","1",9.76,"201309"
"Разград","52154","9106","576","1352","4056","620","84","1",17.46,"201309"
"Русе","102880","10383","667","1766","2760","634","640","1",10.09,"201309"
"Силистра","45518","8459","441","1429","3463","453","104","1",18.58,"201309"
"Сливен","78097","14594","573","3658","6608","490","148","2",18.69,"201309"
"Смолян","58440","11359","651","1529","3688","620","744","1",19.44,"201309"
"гр. София","665475","22831","1854","4626","2703","1842","1569","1",3.43,"201309"
"Софийска","109181","14131","794","3509","4671","822","1884","0",12.94,"201309"
"Стара Загора","147697","14019","1166","3294","4494","1195","477","1",9.49,"201309"
"Търговище","49168","9130","501","1282","4322","552","304","1",18.57,"201309"
"Хасково","104465","13315","635","2834","4201","555","508","1",12.75,"201309"
"Шумен","76138","12973","602","2351","5296","619","287","2",17.04,"201309"
"Ямбол","55779","8586","404","2013","3716","259","222","1",15.39,"201309"
"Благоевград","151333","21779","1268","4367","7518","1131","2109","7",14.39,"201310"
"Бургас","188448","17230","955","3729","3160","571","486","18",9.14,"201310"
"Варна","222697","16427","1359","3481","3119","744","419","17",7.38,"201310"
"Велико Търново","108453","11120","868","2059","3137","676","381","11",10.25,"201310"
"Видин","37828","8128","377","1678","2621","310","151","16",21.49,"201310"
"Враца","74912","15285","815","3237","5364","782","675","16",20.4,"201310"
"Габрово","54178","3638","299","607","818","315","142","7",6.71,"201310"
"Добрич","79873","9973","495","1682","2908","504","226","16",12.49,"201310"
"Кърджали","60746","9751","307","1218","4381","271","624","12",16.05,"201310"
"Кюстендил","56911","7816","726","1570","2799","608","366","9",13.73,"201310"
"Ловеч","55868","9046","431","1737","3478","359","422","13",16.19,"201310"
"Монтана","60045","12151","559","2476","4370","514","252","17",20.24,"201310"
"Пазарджик","115297","18467","866","3854","7439","849","219","18",16.02,"201310"
"Перник","60837","6518","384","1311","1556","181","108","24",10.71,"201310"
"Плевен","107641","17784","948","3550","6309","775","933","12",16.52,"201310"
"Пловдив","302681","29793","1500","6824","10155","917","431","16",9.84,"201310"
"Разград","52154","9361","305","1378","4076","183","73","38",17.95,"201310"
"Русе","102880","10554","686","1735","2796","611","693","10",10.26,"201310"
"Силистра","45518","8707","320","1452","3519","225","133","29",19.13,"201310"
"Сливен","78097","15210","462","3768","6781","361","137","32",19.48,"201310"
"Смолян","58440","11472","857","1586","3439","922","947","8",19.63,"201310"
"гр. София","665475","22924","1864","4661","2752","717","1577","6",3.44,"201310"
"Софийска","109181","14269","841","3493","4568","2088","1433","7",13.07,"201310"
"Стара Загора","147697","14297","691","3364","4528","481","453","17",9.68,"201310"
"Търговище","49168","9390","394","1311","4321","462","390","13",19.1,"201310"
"Хасково","104465","13928","603","3010","4283","324","681","18",13.33,"201310"
"Шумен","76138","13076","761","2408","5116","701","356","15",17.17,"201310"
"Ямбол","55779","8873","346","2038","3815","148","164","26",15.91,"201310"
"Благоевград","151333","22446","874","4388","7810","669","2262","9",14.83,"201311"
"Бургас","188448","18631","684","3831","3261","365","550","24",9.89,"201311"
"Варна","222697","17656","989","3628","3182","492","452","21",7.93,"201311"
"Велико Търново","108453","11667","672","2089","3193","475","373","15",10.76,"201311"
"Видин","37828","8198","408","1673","2572","509","306","13",21.67,"201311"
"Враца","74912","15700","672","3314","5383","610","629","13",20.96,"201311"
"Габрово","54178","3776","207","647","840","181","160","13",6.97,"201311"
"Добрич","79873","10747","430","1760","2975","179","242","29",13.46,"201311"
"Кърджали","60746","9913","226","1227","4521","168","550","13",16.32,"201311"
"Кюстендил","56911","7932","392","1569","2825","253","279","14",13.94,"201311"
"Ловеч","55868","9318","353","1759","3528","204","468","16",16.68,"201311"
"Монтана","60045","12440","632","2480","4377","654","303","15",20.72,"201311"
"Пазарджик","115297","18809","741","3878","7457","575","215","26",16.31,"201311"
"Перник","60837","6592","311","1276","1546","118","281","32",10.84,"201311"
"Плевен","107641","18373","606","3549","6458","262","1062","16",17.07,"201311"
"Пловдив","302681","29867","1291","6669","10190","789","320","27",9.87,"201311"
"Разград","52154","9423","300","1333","4038","215","102","35",18.07,"201311"
"Русе","102880","10552","516","1682","2904","366","572","11",10.26,"201311"
"Силистра","45518","8862","321","1428","3495","255","123","25",19.47,"201311"
"Сливен","78097","15499","427","3791","6863","257","292","42",19.85,"201311"
"Смолян","58440","11998","530","1657","3528","409","335","9",20.53,"201311"
"гр. София","665475","22510","2049","4120","2801","1714","1184","8",3.38,"201311"
"Софийска","109181","14675","740","3524","4625","677","1779","7",13.44,"201311"
"Стара Загора","147697","14698","672","3449","4540","515","291","17",9.95,"201311"
"Търговище","49168","9353","362","1241","4275","251","241","16",19.02,"201311"
"Хасково","104465","14113","518","2971","4422","263","651","16",13.51,"201311"
"Шумен","76138","13714","354","2439","5276","252","537","24",18.01,"201311"
"Ямбол","55779","9099","255","2042","3880","138","236","32",16.31,"201311"
"Благоевград","151333","22690","788","4369","7867","618","2185","8",14.99,"201312"
"Бургас","188448","19208","498","3787","3397","176","1195","29",10.19,"201312"
"Варна","222697","18148","708","3681","3234","317","576","26",8.15,"201312"
"Велико Търново","108453","12400","366","2121","3220","235","351","22",11.43,"201312"
"Видин","37828","8330","299","1683","2596","89","119","22",22.02,"201312"
"Враца","74912","16028","354","3371","5435","168","645","21",21.4,"201312"
"Габрово","54178","3881","149","655","857","156","156","13",7.16,"201312"
"Добрич","79873","11406","283","1796","3034","156","295","30",14.28,"201312"
"Кърджали","60746","10082","120","1213","4549","57","531","17",16.6,"201312"
"Кюстендил","56911","7985","217","1579","2830","236","209","17",14.03,"201312"
"Ловеч","55868","9656","167","1802","3655","94","259","18",17.28,"201312"
"Монтана","60045","12549","428","2488","4361","279","74","23",20.9,"201312"
"Пазарджик","115297","19317","343","3860","7680","283","320","41",16.75,"201312"
"Перник","60837","6745","211","1259","1548","86","67","20",11.09,"201312"
"Плевен","107641","19197","343","3548","6585","172","1415","16",17.83,"201312"
"Пловдив","302681","30632","642","6701","10328","253","234","57",10.12,"201312"
"Разград","52154","9788","113","1336","4149","168","171","38",18.77,"201312"
"Русе","102880","10995","321","1726","2944","241","628","15",10.69,"201312"
"Силистра","45518","9276","121","1439","3504","77","259","49",20.38,"201312"
"Сливен","78097","15731","203","3757","7001","335","243","26",20.14,"201312"
"Смолян","58440","12151","668","1640","3611","322","300","20",20.79,"201312"
"гр. София","665475","22225","1392","3933","2761","1414","602","10",3.34,"201312"
"Софийска","109181","14703","651","3438","4727","353","509","7",13.47,"201312"
"Стара Загора","147697","15327","352","3522","4686","311","201","27",10.38,"201312"
"Търговище","49168","9789","154","1271","4320","99","248","30",19.91,"201312"
"Хасково","104465","14299","293","2964","4479","124","679","20",13.69,"201312"
"Шумен","76138","14354","195","2480","5390","77","390","25",18.85,"201312"
"Ямбол","55779","9285","187","2058","3946","97","295","30",16.65,"201312"
"Благоевград","151333","23546","1093","4503","8339","1516","2205","7",15.56,"201401"
"Бургас","188448","19578","872","3880","3607","1134","1561","9",10.39,"201401"
"Варна","222697","19016","909","3880","3523","1482","414","10",8.54,"201401"
"Велико Търново","108453","13371","563","2238","3435","1208","480","9",12.33,"201401"
"Видин","37828","8682","355","1781","2710","1986","232","4",22.95,"201401"
"Враца","74912","16811","808","3579","5663","2624","191","6",22.44,"201401"
"Габрово","54178","4026","231","699","890","353","96","9",7.43,"201401"
"Добрич","79873","11989","403","1905","3153","801","549","12",15.01,"201401"
"Кърджали","60746","10299","293","1227","4683","474","824","11",16.95,"201401"
"Кюстендил","56911","8278","500","1640","2952","947","155","8",14.55,"201401"
"Ловеч","55868","9960","397","1823","3813","732","199","11",17.83,"201401"
"Монтана","60045","13019","477","2620","4563","2290","148","6",21.68,"201401"
"Пазарджик","115297","20124","712","3979","8091","1148","404","15",17.45,"201401"
"Перник","60837","7131","339","1361","1595","503","80","14",11.72,"201401"
"Плевен","107641","20082","699","3770","6885","1598","2440","7",18.66,"201401"
"Пловдив","302681","31684","1344","6908","10757","2075","518","15",10.47,"201401"
"Разград","52154","10316","352","1381","4268","604","103","14",19.78,"201401"
"Русе","102880","11422","534","1820","3095","656","791","10",11.1,"201401"
