oblast,period,ikonaktiwni,regbezr,pod29bezr
Благоевград,201104,151333,19008,3502
Бургас,201104,188448,14348,2696
Варна,201104,222697,15696,3171
Велико Търново,201104,108453,11684,1818
Видин,201104,37828,7812,1522
Враца,201104,74912,13504,2412
Габрово,201104,54178,4052,578
Добрич,201104,79873,9791,1656
Кърджали,201104,60746,8586,1193
Кюстендил,201104,56911,7549,1529
Ловеч,201104,55868,8700,1533
Монтана,201104,60045,12433,2428
Пазарджик,201104,115297,18113,3743
Перник,201104,60837,5810,1086
Плевен,201104,107641,15636,2767
Пловдив,201104,302681,26886,6082
Разград,201104,52154,9656,1411
Русе,201104,102880,10300,1583
Силистра,201104,45518,8715,1383
Сливен,201104,78097,12221,3064
Смолян,201104,58440,12153,1625
гр. София,201104,665475,20740,3298
Софийска,201104,109181,14280,3361
Стара Загора,201104,147697,12960,3032
Търговище,201104,49168,10621,1363
Хасково,201104,104465,11447,2276
Шумен,201104,76138,13592,2328
Ямбол,201104,55779,7805,1805
Общо за страната,201105,3282740,328533,60836
Благоевград,201105,151333,18435,3431
Бургас,201105,188448,12270,2204
Варна,201105,222697,14168,2818
Велико Търново,201105,108453,11210,1696
Видин,201105,37828,7648,1500
Враца,201105,74912,13088,2347
Габрово,201105,54178,3871,533
Добрич,201105,79873,8745,1458
Кърджали,201105,60746,8347,1113
Кюстендил,201105,56911,7380,1504
Ловеч,201105,55868,8530,1493
Монтана,201105,60045,12017,2323
Пазарджик,201105,115297,17376,3511
Перник,201105,60837,5697,1094
Плевен,201105,107641,14833,2604
Пловдив,201105,302681,25921,5900
Разград,201105,52154,9315,1370
Русе,201105,102880,9770,1477
Силистра,201105,45518,8417,1293
Сливен,201105,78097,11931,2926
Смолян,201105,58440,11479,1470
гр. София,201105,665475,20454,3268
Софийска,201105,109181,13805,3260
Стара Загора,201105,147697,12585,2900
Търговище,201105,49168,9758,1242
Хасково,201105,104465,11008,2148
Шумен,201105,76138,13045,2238
Ямбол,201105,55779,7430,1715
Общо за страната,201106,3282740,318337,59615
Благоевград,201106,151333,17890,3419
Бургас,201106,188448,10774,1920
Варна,201106,222697,13168,2631
Велико Търново,201106,108453,10821,1678
Видин,201106,37828,7436,1449
Враца,201106,74912,12766,2314
Габрово,201106,54178,3651,502
Добрич,201106,79873,8001,1315
Кърджали,201106,60746,8355,1114
Кюстендил,201106,56911,7166,1475
Ловеч,201106,55868,8227,1459
Монтана,201106,60045,11654,2296
Пазарджик,201106,115297,17005,3465
Перник,201106,60837,5647,1098
Плевен,201106,107641,14131,2566
Пловдив,201106,302681,25295,5821
Разград,201106,52154,8981,1320
Русе,201106,102880,9543,1466
Силистра,201106,45518,8218,1309
Сливен,201106,78097,11555,2846
Смолян,201106,58440,10971,1403
гр.София,201106,665475,20988,3450
Софийска,201106,109181,13521,3234
Стара Загора,201106,147697,12305,2875
Търговище,201106,49168,9466,1214
Хасково,201106,104465,10797,2117
Шумен,201106,76138,12796,2174
Ямбол,201106,55779,7209,1685
Общо за страната,201107,3282740,315375,60739
Благоевград,201107,151333,17734,3509
Бургас,201107,188448,10374,1900
Варна,201107,222697,13053,2722
Велико Търново,201107,108453,10770,1758
Видин,201107,37828,7233,1428
Враца,201107,74912,12758,2341
Габрово,201107,54178,3559,534
Добрич,201107,79873,7831,1318
Кърджали,201107,60746,8192,1136
Кюстендил,201107,56911,7114,1533
Ловеч,201107,55868,8235,1508
Монтана,201107,60045,11592,2322
Пазарджик,201107,115297,16878,3475
Перник,201107,60837,5657,1170
Плевен,201107,107641,14164,2605
Пловдив,201107,302681,25265,5909
Разград,201107,52154,8920,1361
Русе,201107,102880,9453,1556
Силистра,201107,45518,8155,1333
Сливен,201107,78097,11384,2850
Смолян,201107,58440,10620,1383
гр. София,201107,665475,21145,3681
Софийска,201107,109181,13330,3253
Стара Загора,201107,147697,12324,2950
Търговище,201107,49168,9353,1255
Хасково,201107,104465,10522,2100
Шумен,201107,76138,12599,2143
Ямбол,201107,55779,7161,1706
Общо за страната,201108,3282740,313772,60925
Благоевград,201108,151333,17823,3579
Бургас,201108,188448,10262,1910
Варна,201108,222697,13069,2763
Велико Търново,201108,108453,10458,1729
Видин,201108,37828,7124,1415
Враца,201108,74912,12750,2342
Габрово,201108,54178,3469,521
Добрич,201108,79873,7722,1346
Кърджали,201108,60746,8182,1126
Кюстендил,201108,56911,7226,1589
Ловеч,201108,55868,8217,1522
Монтана,201108,60045,11438,2329
Пазарджик,201108,115297,16826,3519
Перник,201108,60837,5699,1181
Плевен,201108,107641,14195,2614
Пловдив,201108,302681,25264,5919
Разград,201108,52154,8834,1335
Русе,201108,102880,9392,1540
