oblast,period,ikonaktiwni,regbezr,pod29bezr
Сливен,201612,78097,10450,1733
Смолян,201612,58440,7486,804
Софийска,201612,109181,9691,1634
гр. София,201612,665475,15246,2113
Стара Загора,201612,147697,8877,1491
Търговище,201612,49168,7301,758
Хасково,201612,104465,9084,1236
Шумен,201612,76138,10302,1308
Ямбол,201612,55779,5172,753
За страната,201701,3282740,269749,39237
Благоевград,201701,151333,16895,2761
Бургас,201701,188448,13902,2009
Варна,201701,222697,13335,2006
Велико Търново,201701,108453,8936,1205
Видин,201701,37828,7348,1108
Враца,201701,74912,12237,1952
Габрово,201701,54178,2710,398
Добрич,201701,79873,7811,880
Кърджали,201701,60746,7249,764
Кюстендил,201701,56911,5582,961
Ловеч,201701,55868,7229,1123
Монтана,201701,60045,10130,1565
Пазарджик,201701,115297,13650,2012
Перник,201701,60837,3763,525
Плевен,201701,107641,13560,1824
Пловдив,201701,302681,18327,3281
Разград,201701,52154,6926,747
Русе,201701,102880,7214,907
Силистра,201701,45518,6891,827
Сливен,201701,78097,10903,1862
Смолян,201701,58440,7590,821
Софийска,201701,109181,9794,1705
гр. София,201701,665475,15612,2210
Стара Загора,201701,147697,9182,1548
Търговище,201701,49168,7547,790
Хасково,201701,104465,9380,1281
Шумен,201701,76138,10596,1358
Ямбол,201701,55779,5450,807
За страната,201702,3282740,269642,39403
Благоевград,201702,151333,16534,2651
Бургас,201702,188448,13677,1980
Варна,201702,222697,13358,1982
Велико Търново,201702,108453,8941,1209
Видин,201702,37828,7298,1094
Враца,201702,74912,12233,1958
Габрово,201702,54178,2705,392
Добрич,201702,79873,7798,892
Кърджали,201702,60746,7188,743
Кюстендил,201702,56911,5693,1039
Ловеч,201702,55868,7182,1136
Монтана,201702,60045,10158,1605
Пазарджик,201702,115297,13491,1961
Перник,201702,60837,3777,531
Плевен,201702,107641,13533,1844
Пловдив,201702,302681,18475,3327
Разград,201702,52154,6938,749
Русе,201702,102880,7304,927
Силистра,201702,45518,6877,837
Сливен,201702,78097,11051,1923
Смолян,201702,58440,7527,780
Софийска,201702,109181,9936,1788
гр. София,201702,665475,15656,2264
Стара Загора,201702,147697,9136,1524
Търговище,201702,49168,7567,762
Хасково,201702,104465,9429,1273
Шумен,201702,76138,10626,1393
Ямбол,201702,55779,5554,839
За страната,201703,3282740,261771,38494
Благоевград,201703,151333,16313,2636
Бургас,201703,188448,12129,1724
Варна,201703,222697,12748,1874
Велико Търново,201703,108453,8319,1124
Видин,201703,37828,7079,1057
Враца,201703,74912,12171,2038
Габрово,201703,54178,2703,378
Добрич,201703,79873,7157,805
Кърджали,201703,60746,7152,722
Кюстендил,201703,56911,5766,1074
Ловеч,201703,55868,7164,1126
Монтана,201703,60045,9997,1568
Пазарджик,201703,115297,13062,1851
Перник,201703,60837,3869,570
Плевен,201703,107641,13250,1916
Пловдив,201703,302681,18151,3307
Разград,201703,52154,6651,744
Русе,201703,102880,6935,912
Силистра,201703,45518,6573,857
Сливен,201703,78097,10760,1852
Смолян,201703,58440,7311,677
Софийска,201703,109181,9781,1774
гр. София,201703,665475,15396,2123
Стара Загора,201703,147697,8894,1525
Търговище,201703,49168,7335,774
Хасково,201703,104465,9299,1284
Шумен,201703,76138,10364,1372
Ямбол,201703,55779,5442,830
За страната,201704,3282740,249464,35420
Благоевград,201704,151333,16021,2507
Бургас,201704,188448,10104,1473
Варна,201704,222697,11120,1578
Велико Търново,201704,108453,7783,1020
Видин,201704,37828,6865,942
Враца,201704,74912,11647,1827
Габрово,201704,54178,2589,349
Добрич,201704,79873,6027,692
Кърджали,201704,60746,6919,651
Кюстендил,201704,56911,5652,995
Ловеч,201704,55868,6968,1028
Монтана,201704,60045,9630,1419
Пазарджик,201704,115297,12417,1721
Перник,201704,60837,3649,492
Плевен,201704,107641,12787,1817
Пловдив,201704,302681,17723,3051
Разград,201704,52154,6494,733
Русе,201704,102880,6714,857
Силистра,201704,45518,6287,804
Сливен,201704,78097,10637,1774
Смолян,201704,58440,7083,597
Софийска,201704,109181,9640,1691
гр. София,201704,665475,14990,2020
Стара Загора,201704,147697,8655,1466
Търговище,201704,49168,7045,714
Хасково,201704,104465,8952,1200
Шумен,201704,76138,9852,1238
Ямбол,201704,55779,5214,764
За страната,201705,3282740,233829,32158
Благоевград,201705,151333,15095,2189
Бургас,201705,188448,8037,1157
Варна,201705,222697,9468,1291
Велико Търново,201705,108453,7354,883
Видин,201705,37828,6535,856
Враца,201705,74912,11193,1668
Габрово,201705,54178,2482,305
Добрич,201705,79873,5083,579
Кърджали,201705,60746,6609,576
Кюстендил,201705,56911,5487,896
Ловеч,201705,55868,6549,962
Монтана,201705,60045,9329,1395
Пазарджик,201705,115297,11497,1509
Перник,201705,60837,3531,455
Плевен,201705,107641,12154,1647
Пловдив,201705,302681,16944,2845
Разград,201705,52154,6186,691
Русе,201705,102880,6523,811
Силистра,201705,45518,5977,763
Сливен,201705,78097,9985,1646
Смолян,201705,58440,6397,501
Софийска,201705,109181,9222,1569
гр. София,201705,665475,14548,1952
Стара Загора,201705,147697,8191,1359
Търговище,201705,49168,6767,674
Хасково,201705,104465,8375,1066
Шумен,201705,76138,9427,1190
Ямбол,201705,55779,4884,723
За страната,201706,3282740,224167,30725
Благоевград,201706,151333,14472,2050
Бургас,201706,188448,6934,984
Варна,201706,222697,8623,1160
Велико Търново,201706,108453,6915,871
Видин,201706,37828,6476,826
Враца,201706,74912,10789,1631
Габрово,201706,54178,2337,293
Добрич,201706,79873,4407,566
Кърджали,201706,60746,6643,577
Кюстендил,201706,56911,5243,788
Ловеч,201706,55868,6299,939
Монтана,201706,60045,8971,1299
Пазарджик,201706,115297,11292,1496
Перник,201706,60837,3479,435
Плевен,201706,107641,11601,1546
Пловдив,201706,302681,16563,2824
Разград,201706,52154,6050,716
Русе,201706,102880,6292,715
Силистра,201706,45518,5878,739
Сливен,201706,78097,9325,1454
Смолян,201706,58440,5801,478
Софийска,201706,109181,8929,1518
гр. София,201706,665475,14395,1913
Стара Загора,201706,147697,7932,1332
Търговище,201706,49168,6617,695
Хасково,201706,104465,8042,1076
Шумен,201706,76138,9265,1128
Ямбол,201706,55779,4597,676
За страната,201707,3282740,220848,30353
Благоевград,201707,151333,14353,2110
Бургас,201707,188448,6680,957
Варна,201707,222697,8539,1177
Велико Търново,201707,108453,6808,893
Видин,201707,37828,6480,868
Враца,201707,74912,10717,1640
Габрово,201707,54178,2257,305
Добрич,201707,79873,4057,492
Кърджали,201707,60746,6644,607
Кюстендил,201707,56911,5167,749
Ловеч,201707,55868,6312,949
Монтана,201707,60045,8521,1190
Пазарджик,201707,115297,11185,1470
Перник,201707,60837,3415,447
Плевен,201707,107641,11416,1491
Пловдив,201707,302681,16357,2835
Разград,201707,52154,6041,725
Русе,201707,102880,6244,702
Силистра,201707,45518,5818,701
Сливен,201707,78097,9113,1393
Смолян,201707,58440,5704,441
Софийска,201707,109181,8804,1508
гр. София,201707,665475,14411,1904
Стара Загора,201707,147697,7712,1309
Търговище,201707,49168,6536,684
Хасково,201707,104465,7788,999
Шумен,201707,76138,9322,1164
Ямбол,201707,55779,4447,643
За страната,201708,3282740,218436,30060
Благоевград,201708,151333,14526,2155
Бургас,201708,188448,6728,1033
Варна,201708,222697,8426,1162
Велико Търново,201708,108453,6633,879
Видин,201708,37828,6465,878
Враца,201708,74912,10670,1657
Габрово,201708,54178,2258,304
Добрич,201708,79873,4001,441
Кърджали,201708,60746,6634,622
Кюстендил,201708,56911,5187,722
Ловеч,201708,55868,6305,1000
Монтана,201708,60045,8418,1194
Пазарджик,201708,115297,11184,1528
Перник,201708,60837,3392,464
Плевен,201708,107641,11152,1416
Пловдив,201708,302681,16304,2895
Разград,201708,52154,5995,703
Русе,201708,102880,6267,712
Силистра,201708,45518,5684,646
Сливен,201708,78097,8863,1356
Смолян,201708,58440,5634,382
Софийска,201708,109181,8518,1446
гр. София,201708,665475,14519,1959
Стара Загора,201708,147697,7666,1315
Търговище,201708,49168,6276,493
Хасково,201708,104465,7687,959
Шумен,201708,76138,8859,1130
Ямбол,201708,55779,4185,609
За страната,201709,3282740,213307,29754
Благоевград,201709,151333,14672,2305
Бургас,201709,188448,7291,1141
Варна,201709,222697,8526,1171
Велико Търново,201709,108453,6437,894
Видин,201709,37828,6038,883
Враца,201709,74912,10120,1621
Габрово,201709,54178,2255,310
Добрич,201709,79873,4200,492
Кърджали,201709,60746,6330,629
Кюстендил,201709,56911,5126,724
Ловеч,201709,55868,6073,918
Монтана,201709,60045,7852,1132
Пазарджик,201709,115297,11070,1573
Перник,201709,60837,3222,437
Плевен,201709,107641,11021,1454
Пловдив,201709,302681,15788,2796
Разград,201709,52154,5759,603
Русе,201709,102880,6086,719
Силистра,201709,45518,5619,656
Сливен,201709,78097,8601,1307
Смолян,201709,58440,5757,430
Софийска,201709,109181,8187,1396
гр. София,201709,665475,14054,1897
Стара Загора,201709,147697,7359,1287
Търговище,201709,49168,5922,436
Хасково,201709,104465,7377,853
Шумен,201709,76138,8615,1134
Ямбол,201709,55779,3950,556
За страната,201710,3282740,220172,31704
Благоевград,201710,151333,15267,2520
Бургас,201710,188448,10724,1623
Варна,201710,222697,9946,1414
Велико Търново,201710,108453,6598,983
Видин,201710,37828,6003,918
Враца,201710,74912,10172,1688
Габрово,201710,54178,2252,312
Добрич,201710,79873,5116,634
Кърджали,201710,60746,6310,628
Кюстендил,201710,56911,5033,739
Ловеч,201710,55868,5992,925
Монтана,201710,60045,7973,1173
Пазарджик,201710,115297,11165,1618
Перник,201710,60837,3183,452
Плевен,201710,107641,11111,1600
Пловдив,201710,302681,15609,2831
Разград,201710,52154,5753,578
Русе,201710,102880,6125,770
Силистра,201710,45518,5654,687
Сливен,201710,78097,8484,1295
Смолян,201710,58440,6233,548
Софийска,201710,109181,7970,1360
гр. София,201710,665475,14202,1971
Стара Загора,201710,147697,7348,1294
Търговище,201710,49168,5783,474
Хасково,201710,104465,7580,943
Шумен,201710,76138,8733,1202
Ямбол,201710,55779,3853,524
За страната,201711,3282740,227532,32877
Благоевград,201711,151333,15917,2655
Бургас,201711,188448,11920,1814
Варна,201711,222697,10748,1525
Велико Търново,201711,108453,7003,1066
Видин,201711,37828,6114,918
Враца,201711,74912,10458,1777
Габрово,201711,54178,2305,299
Добрич,201711,79873,5832,712
Кърджали,201711,60746,6470,653
Кюстендил,201711,56911,5106,774
Ловеч,201711,55868,5992,881
Монтана,201711,60045,8036,1234
Пазарджик,201711,115297,11626,1732
Перник,201711,60837,3218,457
Плевен,201711,107641,11466,1718
Пловдив,201711,302681,15698,2806
Разград,201711,52154,5861,600
Русе,201711,102880,6343,807
Силистра,201711,45518,5909,722
Сливен,201711,78097,8937,1446
Смолян,201711,58440,6481,596
Софийска,201711,109181,7983,1321
гр. София,201711,665475,14270,1942
Стара Загора,201711,147697,7347,1303
Търговище,201711,49168,6004,535
Хасково,201711,104465,7581,941
Шумен,201711,76138,8881,1139
Ямбол,201711,55779,4026,504
За страната,201712,3282740,232066,32995
Благоевград,201712,151333,16228,2637
Бургас,201712,188448,12242,1840
Варна,201712,222697,11120,1602
Велико Търново,201712,108453,7398,1055
Видин,201712,37828,6200,890
Враца,201712,74912,10498,1708
Габрово,201712,54178,2370,320
Добрич,201712,79873,6431,738
Кърджали,201712,60746,6594,668
Кюстендил,201712,56911,5096,777
Ловеч,201712,55868,6075,911
Монтана,201712,60045,8088,1217
Пазарджик,201712,115297,11888,1777
Перник,201712,60837,3230,445
Плевен,201712,107641,11807,1697
Пловдив,201712,302681,15915,2730
Разград,201712,52154,5985,594
Русе,201712,102880,6563,853
Силистра,201712,45518,6106,730
Сливен,201712,78097,8907,1445
Смолян,201712,58440,6555,643
Софийска,201712,109181,8011,1324
гр. София,201712,665475,14305,1936
Стара Загора,201712,147697,7436,1305
Търговище,201712,49168,6105,553
Хасково,201712,104465,7715,940
Шумен,201712,76138,9085,1131
Ямбол,201712,55779,4113,529
За страната,201801,3282740,237322,32459
Благоевград,201801,151333,16483,2602
Бургас,201801,188448,12470,1827
Варна,201801,222697,11516,1613
Велико Търново,201801,108453,7869,1101
Видин,201801,37828,6196,734
Враца,201801,74912,10576,1443
Габрово,201801,54178,2483,326
Добрич,201801,79873,6777,819
Кърджали,201801,60746,6550,646
Кюстендил,201801,56911,5251,825
Ловеч,201801,55868,6242,959
Монтана,201801,60045,8091,1044
Пазарджик,201801,115297,12105,1707
Перник,201801,60837,3308,464
Плевен,201801,107641,11986,1638
Пловдив,201801,302681,16219,2671
Разград,201801,52154,6085,616
Русе,201801,102880,6793,847
Силистра,201801,45518,6428,744
Сливен,201801,78097,9250,1370
Смолян,201801,58440,6645,632
Софийска,201801,109181,8088,1373
гр. София,201801,665475,14378,1871
Стара Загора,201801,147697,7582,1253
Търговище,201801,49168,6273,587
Хасково,201801,104465,7892,987
Шумен,201801,76138,9374,1144
Ямбол,201801,55779,4412,616
За страната,201802,3282740,230611,30161
Благоевград,201802,151333,16051,2392
Бургас,201802,188448,11706,1596
Варна,201802,222697,10907,1460
Велико Търново,201802,108453,7550,970
Видин,201802,37828,5955,660
Враца,201802,74912,10369,1382
Габрово,201802,54178,2422,295
Добрич,201802,79873,6551,796
Кърджали,201802,60746,6370,562
Кюстендил,201802,56911,5307,817
Ловеч,201802,55868,6040,889
Монтана,201802,60045,7863,936
Пазарджик,201802,115297,11857,1605
Перник,201802,60837,3235,437
Плевен,201802,107641,11721,1543
Пловдив,201802,302681,15744,2401
Разград,201802,52154,5971,586
Русе,201802,102880,6693,794
Силистра,201802,45518,6302,699
Сливен,201802,78097,9148,1384
Смолян,201802,58440,6450,574
Софийска,201802,109181,7963,1338
гр. София,201802,665475,13813,1692
Стара Загора,201802,147697,7383,1168
Търговище,201802,49168,6122,611
Хасково,201802,104465,7663,957
Шумен,201802,76138,9036,1015
Ямбол,201802,55779,4419,602
За страната,201803,3282740,221600,28701
Благоевград,201803,151333,15644,2258
Бургас,201803,188448,10225,1386
Варна,201803,222697,10092,1367
Велико Търново,201803,108453,7118,887
Видин,201803,37828,5844,652
Враца,201803,74912,10129,1320
Габрово,201803,54178,2314,264
Добрич,201803,79873,5976,752
Кърджали,201803,60746,6198,516
Кюстендил,201803,56911,5177,789
Ловеч,201803,55868,5860,852
Монтана,201803,60045,7638,924
Пазарджик,201803,115297,11340,1496
Перник,201803,60837,3177,434
Плевен,201803,107641,11466,1525
Пловдив,201803,302681,15080,2339
Разград,201803,52154,5777,609
Русе,201803,102880,6447,742
Силистра,201803,45518,6026,691
Сливен,201803,78097,8969,1293
Смолян,201803,58440,6261,523
Софийска,201803,109181,8017,1364
гр. София,201803,665475,13416,1593
Стара Загора,201803,147697,7152,1093
Търговище,201803,49168,5861,558
Хасково,201803,104465,7486,936
Шумен,201803,76138,8674,974
Ямбол,201803,55779,4236,564
За страната,201804,3282740,210973,26829
Благоевград,201804,151333,15250,2096
Бургас,201804,188448,8273,1160
Варна,201804,222697,8799,1145
Велико Търново,201804,108453,6615,807
Видин,201804,37828,5711,647
Враца,201804,74912,9975,1344
Габрово,201804,54178,2198,215
Добрич,201804,79873,4902,637
Кърджали,201804,60746,6022,475
Кюстендил,201804,56911,4998,773
Ловеч,201804,55868,5699,814
Монтана,201804,60045,7433,844
Пазарджик,201804,115297,10760,1347
Перник,201804,60837,3094,403
Плевен,201804,107641,11065,1422
Пловдив,201804,302681,14528,2178
Разград,201804,52154,5546,576
Русе,201804,102880,6264,722
Силистра,201804,45518,5725,682
Сливен,201804,78097,8765,1254
Смолян,201804,58440,6065,497
Софийска,201804,109181,7963,1347
гр. София,201804,665475,13145,1523
Стара Загора,201804,147697,7090,1088
Търговище,201804,49168,5601,531
Хасково,201804,104465,7178,879
Шумен,201804,76138,8331,896
Ямбол,201804,55779,3978,527
За страната,201805,3282740,200458,24841
Благоевград,201805,151333,14438,1849
Бургас,201805,188448,6761,965
Варна,201805,222697,7749,978
Велико Търново,201805,108453,6243,719
Видин,201805,37828,5540,630
Враца,201805,74912,9724,1268
Габрово,201805,54178,2110,205
Добрич,201805,79873,4153,527
Кърджали,201805,60746,5802,435
Кюстендил,201805,56911,4821,727
Ловеч,201805,55868,5523,791
Монтана,201805,60045,7287,833
Пазарджик,201805,115297,10063,1216
Перник,201805,60837,2999,390
Плевен,201805,107641,10650,1303
Пловдив,201805,302681,14168,2071
Разград,201805,52154,5361,542
Русе,201805,102880,6061,712
Силистра,201805,45518,5504,619
Сливен,201805,78097,8432,1134
Смолян,201805,58440,5747,447
Софийска,201805,109181,7732,1294
гр. София,201805,665475,12709,1410
Стара Загора,201805,147697,6781,1041
Търговище,201805,49168,5429,519
Хасково,201805,104465,6901,840
Шумен,201805,76138,7951,872
Ямбол,201805,55779,3819,504
За страната,201806,3282740,188576,23602
Благоевград,201806,151333,13968,1737
Бургас,201806,188448,5805,830
Варна,201806,222697,7027,857
Велико Търново,201806,108453,5788,703
Видин,201806,37828,5221,582
Враца,201806,74912,9181,1280
Габрово,201806,54178,1930,179
Добрич,201806,79873,3329,413
Кърджали,201806,60746,5624,478
Кюстендил,201806,56911,4527,655
Ловеч,201806,55868,5102,756
Монтана,201806,60045,6837,813
Пазарджик,201806,115297,9781,1240
Перник,201806,60837,2824,369
Плевен,201806,107641,10172,1326
Пловдив,201806,302681,13633,2066
Разград,201806,52154,5143,516
Русе,201806,102880,5719,629
Силистра,201806,45518,5262,610
Сливен,201806,78097,7734,1004
Смолян,201806,58440,5318,391
Софийска,201806,109181,7289,1231
гр. София,201806,665475,12525,1354
Стара Загора,201806,147697,6434,1011
Търговище,201806,49168,4914,464
Хасково,201806,104465,6509,803
Шумен,201806,76138,7490,855
Ямбол,201806,55779,3490,450
За страната,201807,3282740,185834,24306
Благоевград,201807,151333,13682,1767
Бургас,201807,188448,5660,829
Варна,201807,222697,6822,857
Велико Търново,201807,108453,5679,719
Видин,201807,37828,5295,705
Враца,201807,74912,9094,1319
Габрово,201807,54178,1840,198
Добрич,201807,79873,3217,376
Кърджали,201807,60746,5616,470
Кюстендил,201807,56911,4484,669
Ловеч,201807,55868,5144,776
Монтана,201807,60045,6820,951
Пазарджик,201807,115297,9579,1276
Перник,201807,60837,2754,374
Плевен,201807,107641,9758,1283
Пловдив,201807,302681,13783,2250
Разград,201807,52154,5114,518
Русе,201807,102880,5711,658
Силистра,201807,45518,5247,622
Сливен,201807,78097,7446,1030
Смолян,201807,58440,5227,418
Софийска,201807,109181,7117,1202
гр. София,201807,665475,12553,1417
Стара Загора,201807,147697,6452,1070
Търговище,201807,49168,4824,483
Хасково,201807,104465,6469,834
Шумен,201807,76138,7322,870
Ямбол,201807,55779,3125,365
За страната,201808,3282740,183962,24442
Благоевград,201808,151333,13830,1805
Бургас,201808,188448,5728,828
Варна,201808,222697,6725,870
Велико Търново,201808,108453,5567,711
Видин,201808,37828,5211,717
Враца,201808,74912,8834,1356
Габрово,201808,54178,1889,219
Добрич,201808,79873,3157,351
Кърджали,201808,60746,5482,475
Кюстендил,201808,56911,4532,662
Ловеч,201808,55868,5130,749
Монтана,201808,60045,6754,983
Пазарджик,201808,115297,9471,1271
Перник,201808,60837,2680,357
Плевен,201808,107641,9636,1263
Пловдив,201808,302681,13861,2306
Разград,201808,52154,4980,503
Русе,201808,102880,5606,647
Силистра,201808,45518,5097,597
Сливен,201808,78097,7254,1023
Смолян,201808,58440,5225,432
Софийска,201808,109181,6951,1194
гр. София,201808,665475,12575,1443
Стара Загора,201808,147697,6445,1112
Търговище,201808,49168,4768,499
Хасково,201808,104465,6485,840
Шумен,201808,76138,7209,885
Ямбол,201808,55779,2880,344
За страната,201809,3282740,183846,24326
Благоевград,201809,151333,14138,1867
Бургас,201809,188448,6254,901
Варна,201809,222697,6917,909
Велико Търново,201809,108453,5504,730
Видин,201809,37828,5489,726
Враца,201809,74912,8945,1309
Габрово,201809,54178,1891,235
Добрич,201809,79873,3270,363
Кърджали,201809,60746,5440,480
Кюстендил,201809,56911,4552,658
Ловеч,201809,55868,5032,713
Монтана,201809,60045,6997,969
Пазарджик,201809,115297,9431,1273
Перник,201809,60837,2645,369
Плевен,201809,107641,9537,1248
Пловдив,201809,302681,13596,2199
Разград,201809,52154,4993,520
Русе,201809,102880,5574,656
Силистра,201809,45518,4987,590
Сливен,201809,78097,7041,1033
Смолян,201809,58440,5309,445
Софийска,201809,109181,6689,1132
гр. София,201809,665475,12216,1396
Стара Загора,201809,147697,6252,1060
Търговище,201809,49168,4812,478
Хасково,201809,104465,6307,813
Шумен,201809,76138,7179,908
Ямбол,201809,55779,2849,346
За страната,201810,3282740,193499,26522
Благоевград,201810,151333,14852,2110
Бургас,201810,188448,9310,1279
Варна,201810,222697,8134,1155
Велико Търново,201810,108453,5626,797
Видин,201810,37828,5665,748
Враца,201810,74912,9071,1326
Габрово,201810,54178,2014,287
Добрич,201810,79873,4193,502
Кърджали,201810,60746,5665,534
Кюстендил,201810,56911,4701,723
Ловеч,201810,55868,5191,782
Монтана,201810,60045,7164,1023
Пазарджик,201810,115297,9790,1388
Перник,201810,60837,2744,368
Плевен,201810,107641,9703,1310
Пловдив,201810,302681,13720,2284
Разград,201810,52154,5064,558
Русе,201810,102880,5648,714
Силистра,201810,45518,5101,640
Сливен,201810,78097,7320,1097
Смолян,201810,58440,5670,499
Софийска,201810,109181,6574,1102
гр. София,201810,665475,12279,1455
Стара Загора,201810,147697,6391,1086
Търговище,201810,49168,4947,504
Хасково,201810,104465,6521,876
Шумен,201810,76138,7318,956
Ямбол,201810,55779,3123,419
За страната,201811,3282740,197783,27513
Благоевград,201811,151333,15281,2220
Бургас,201811,188448,10438,1384
Варна,201811,222697,8715,1267
Велико Търново,201811,108453,5881,839
Видин,201811,37828,5666,781
Враца,201811,74912,9090,1339
Габрово,201811,54178,2089,316
Добрич,201811,79873,4809,565
Кърджали,201811,60746,5630,543
Кюстендил,201811,56911,4617,739
Ловеч,201811,55868,5140,810
Монтана,201811,60045,7260,1053
Пазарджик,201811,115297,10152,1464
Перник,201811,60837,2762,364
Плевен,201811,107641,10047,1396
Пловдив,201811,302681,13642,2257
Разград,201811,52154,5183,573
Русе,201811,102880,5755,708
Силистра,201811,45518,5226,644
Сливен,201811,78097,7460,1203
Смолян,201811,58440,5825,542
Софийска,201811,109181,6506,1048
гр. София,201811,665475,12127,1438
Стара Загора,201811,147697,6160,1072
Търговище,201811,49168,5042,528
Хасково,201811,104465,6633,966
Шумен,201811,76138,7305,994
Ямбол,201811,55779,3342,460
За страната,201812,3282740,201466,27722
Благоевград,201812,151333,15220,2208
Бургас,201812,188448,10688,1421
Варна,201812,222697,9199,1326
Велико Търново,201812,108453,6164,875
Видин,201812,37828,5656,787
Враца,201812,74912,9061,1318
Габрово,201812,54178,2063,311
Добрич,201812,79873,5213,582
Кърджали,201812,60746,5745,548
Кюстендил,201812,56911,4611,729
Ловеч,201812,55868,5260,794
Монтана,201812,60045,7352,1039
Пазарджик,201812,115297,10500,1484
Перник,201812,60837,2764,352
Плевен,201812,107641,10296,1436
Пловдив,201812,302681,13818,2238
Разград,201812,52154,5395,609
Русе,201812,102880,5865,706
Силистра,201812,45518,5552,675
Сливен,201812,78097,7550,1207
Смолян,201812,58440,5671,538
Софийска,201812,109181,6496,1054
гр. София,201812,665475,12101,1415
Стара Загора,201812,147697,6134,1081
Търговище,201812,49168,5293,565
Хасково,201812,104465,6754,968
Шумен,201812,76138,7588,970
Ямбол,201812,55779,3457,486
