"oblast","obshtina","godina","naeti","godzaplata","meszapl","mrz","mrzproc","obshtkod","nastrw","koefnaeti"
"Варна","Белослав",2014,2688,11405,950.416666666667,340,36,"VAR04",10745,25
"Варна","Бяла",2014,1015,7529,627.416666666667,340,54,"VAR05",3297,30.8
"Варна","Варна",2014,127547,9218,768.166666666667,340,44,"VAR06",344775,37
"Варна","Ветрино",2014,772,7084,590.333333333333,340,58,"VAR08",5054,15.3
"Варна","Вълчи дол",2014,1457,7968,664,340,51,"VAR09",9604,15.2
"Варна","Девня",2014,5527,14259,1188.25,340,29,"VAR14",8670,63.7
"Варна","Долни чифлик",2014,1960,6691,557.583333333333,340,61,"VAR13",19075,10.3
"Варна","Дългопол",2014,1645,7299,608.25,340,56,"VAR16",13768,11.9
"Варна","Провадия",2014,3067,7670,639.166666666667,340,53,"VAR24",21700,14.1
"Варна","Суворово",2014,1127,8887,740.583333333333,340,46,"VAR26",7371,15.3
"Добрич","Балчик",2014,6747,8293,691.083333333333,340,49,"DOB03",20055,33.6
"Добрич","Генерал Тошево",2014,2865,7066,588.833333333333,340,58,"DOB12",14162,20.2
"Добрич","Добрич-селска",2014,2741,8570,714.166666666667,340,48,"DOB15",21142,13
"Добрич","Добрич",2014,22014,7202,600.166666666667,340,57,"DOB28",87817,25.1
"Добрич","Каварна",2014,3333,8686,723.833333333333,340,47,"DOB17",14757,22.6
"Добрич","Крушари",2014,493,7274,606.166666666667,340,56,"DOB20",4343,11.4
"Добрич","Тервел",2014,2748,6957,579.75,340,59,"DOB27",15767,17.4
"Добрич","Шабла",2014,886,8089,674.083333333333,340,50,"DOB29",4765,18.6
"Търговище","Антоново",2014,510,6517,543.083333333333,340,63,"TGV02",5859,8.7
"Търговище","Омуртаг",2014,2628,6258,521.5,340,65,"TGV22",21442,12.3
"Търговище","Опака",2014,764,6420,535,340,64,"TGV23",6298,12.1
"Търговище","Попово",2014,6015,7010,584.166666666667,340,58,"TGV24",27225,22.1
"Търговище","Търговище",2014,18082,7861,655.083333333333,340,52,"TGV35",55596,32.5
"Шумен","Велики Преслав",2014,2337,6630,552.5,340,62,"SHU23",12868,18.2
"Шумен","Венец",2014,686,6617,551.416666666667,340,62,"SHU07",7055,9.7
"Шумен","Върбица",2014,854,5915,492.916666666667,340,69,"SHU10",10177,8.4
"Шумен","Каолиново",2014,1113,5658,471.5,340,72,"SHU18",12490,8.9
"Шумен","Каспичан",2014,2232,8500,708.333333333333,340,48,"SHU19",7708,29
"Шумен","Никола Козлево",2014,570,7020,585,340,58,"SHU21",6084,9.4
"Шумен","Нови пазар",2014,3152,7189,599.083333333333,340,57,"SHU22",16571,19
"Шумен","Смядово",2014,596,6325,527.083333333333,340,65,"SHU25",6338,9.4
"Шумен","Хитрино",2014,627,7249,604.083333333333,340,56,"SHU11",6424,9.8
"Шумен","Шумен",2014,29630,8359,696.583333333333,340,49,"SHU30",91210,32.5
"Бургас","Айтос",2014,3516,6339,528.25,340,64,"BGS01",28327,12.4
"Бургас","Бургас",2014,74850,10196,849.666666666667,340,40,"BGS04",211033,35.5
"Бургас","Камено",2014,1247,7294,607.833333333333,340,56,"BGS08",10133,12.3
"Бургас","Карнобат",2014,8391,6994,582.833333333333,340,58,"BGS09",24213,34.7
"Бургас","Малко Търново",2014,626,7175,597.916666666667,340,57,"BGS12",3621,17.3
"Бургас","Несебър",2014,16799,6818,568.166666666667,340,60,"BGS15",25729,65.3
"Бургас","Поморие",2014,5442,6642,553.5,340,61,"BGS17",27623,19.7
"Бургас","Приморско",2014,2363,6001,500.083333333333,340,68,"BGS27",6078,38.9
"Бургас","Руен",2014,2825,5945,495.416666666667,340,69,"BGS18",28482,9.9
"Бургас","Созопол",2014,3190,6587,548.916666666667,340,62,"BGS21",12678,25.2
"Бургас","Средец",2014,2095,9288,774,340,44,"BGS06",14812,14.1
"Бургас","Сунгурларе",2014,1373,6723,560.25,340,61,"BGS23",12021,11.4
"Бургас","Царево",2014,2012,6365,530.416666666667,340,64,"BGS13",9434,21.3
"Сливен","Котел",2014,1622,6529,544.083333333333,340,62,"SLV11",18813,8.6
"Сливен","Нова Загора",2014,5891,7040,586.666666666667,340,58,"SLV16",37845,15.6
"Сливен","Сливен",2014,27966,7393,616.083333333333,340,55,"SLV20",122331,22.9
"Сливен","Твърдица",2014,1496,6566,547.166666666667,340,62,"SLV24",13655,11
"Стара Загора","Братя Даскалови",2014,1073,6759,563.25,340,60,"SZR04",8232,13
"Стара Загора","Гурково",2014,1177,8305,692.083333333333,340,49,"SZR37",5008,23.5
"Стара Загора","Гълъбово",2014,7096,16719,1393.25,340,24,"SZR07",12668,56
"Стара Загора","Казанлък",2014,21986,8081,673.416666666667,340,50,"SZR12",70422,31.2
"Стара Загора","Мъглиж",2014,1194,7635,636.25,340,53,"SZR22",9916,12
"Стара Загора","Николаево",2014,394,7122,593.5,340,57,"SZR38",4449,8.9
"Стара Загора","Опан",2014,353,7199,599.916666666667,340,57,"SZR23",2703,13.1
