;;левове;
BG321;2009V;491;
BG321;2009VI;484;
BG321;2009VII;485;
BG321;2009VIII;489;
BG321;2009IX;509;
BG321;2009X;489;
BG321;2009XI;490;
BG321;2009XII;503;
BG321;2010I;499;
BG321;2010II;501;
BG321;2010III;512;
BG321;2010IV;527;
BG321;2010V;540;
BG321;2010VI;519;
BG321;2010VII;523;
BG321;2010VIII;531;
BG321;2010IX;535;
BG321;2010X;525;
BG321;2010XI;553;
BG321;2010XII;548;
BG321;2011I;517;
BG321;2011II;523;
BG321;2011III;528;
BG321;2011IV;544;
BG321;2011V;559;
BG321;2011VI;535;
BG321;2011VII;539;
BG321;2011VIII;551;
BG321;2011IX;575;
BG321;2011X;555;
BG321;2011XI;569;
BG321;2011XII;574;
BG321;2012I;546;
BG321;2012II;562;
BG321;2012III;568;
BG321;2012IV;574;
BG321;2012V;591;
BG321;2012VI;570;
BG321;2012VII;579;
BG321;2012VIII;584;
BG321;2012IX;589;
BG321;2012X;588;
BG321;2012XI;579;
BG321;2012XII;599;
BG321;2013I;577;
BG321;2013II;573;
BG321;2013III;598;
BG321;2013IV;611;
BG321;2013V;615;
BG321;2013VI;599;
BG321;2013VII;608;
BG321;2013VIII;597;
BG321;2013IX;626;
BG321;2013X;637;
BG321;2013XI;627;
BG321;2013XII;645;
BG321;2014I;616;
BG321;2014II;624;
BG321;2014III;646;
BG321;2014IV;671;
BG321;2014V;664;
BG321;2014VI;660;
BG321;2014VII;658;
BG321;2014VIII;643;
BG321;2014IX;670;
BG321;2014X;667;
BG321;2014XI;660;
BG321;2014XII;676;
BG321;2015I;681;
BG321;2015II;671;
BG321;2015III;691;
BG321;2015IV;703;
BG321;2015V;700;
BG321;2015VI;696;
BG321;2015VII;708;
BG321;2015VIII;693;
BG321;2015IX;722;
BG321;2015X;720;
BG321;2015XI;715;
BG321;2015XII;741;
BG321;2016I;715;
BG321;2016II;724;
BG321;2016III;744;
BG321;2016IV;750;
BG321;2016V;745;
BG321;2016VI;742;
BG321;2016VII;749;
BG321;2016VIII;730;
BG321;2016IX;754;
BG321;2016X;761;
BG321;2016XI;751;
BG321;2016XII;775;
BG321;2017I;760;
BG321;2017II;763;
BG321;2017III;804;
BG321;2017IV;803;
BG321;2017V;797;
BG321;2017VI;795;
BG321;2017VII;800;
BG321;2017VIII;786;
BG321;2017IX;822;
BG321;2017X;826;
BG321;2017XI;819;
BG321;2017XII;827;
BG321;2018I;840;
BG321;2018II;827;
BG321;2018III;861;
BG321;2018IV;887;
BG321;2018V;886;
BG321;2018VI;882;
BG321;2018VII;882;
BG321;2018VIII;870;
BG321;2018IX;902;
BG321;2018X;906;
BG321;2018XI;908;
BG321;2018XII;912;
BG321;2019I;937;
BG321;2019II;935;
BG321;2019III;970;
BG321;2019IV;991;
BG321;2019V;996;
BG321;2019VI;980;
BG321;2019VII;971;
BG321;2019VIII;961;
BG321;2019IX;990;
BG321;2019X;1008;
BG321;2019XI;999;
BG321;2019XII;1031;
BG321;2020I;1012;
BG321;2020II;1006;
BG321;2020III;994;
BG321;2020IV;1008;
BG321;2020V;1045;
BG321;2020VI;1053;
BG321;2020VII;1077;
BG321;2020VIII;1038;
BG321;2020IX;1093;
BG322;2008I;438;
BG322;2008II;438;
BG322;2008III;450;
BG322;2008IV;468;
BG322;2008V;470;
BG322;2008VI;477;
BG322;2008VII;487;
BG322;2008VIII;475;
BG322;2008IX;502;
BG322;2008X;491;
BG322;2008XI;489;
BG322;2008XII;483;
BG322;2009I;494;
BG322;2009II;495;
BG322;2009III;507;
BG322;2009IV;528;
BG322;2009V;517;
BG322;2009VI;522;
BG322;2009VII;518;
BG322;2009VIII;510;
BG322;2009IX;536;
BG322;2009X;521;
BG322;2009XI;532;
BG322;2009XII;551;
BG322;2010I;545;
BG322;2010II;545;
BG322;2010III;564;
BG322;2010IV;566;
BG322;2010V;564;
BG322;2010VI;567;
BG322;2010VII;568;
BG322;2010VIII;556;
BG322;2010IX;577;
BG322;2010X;573;
BG322;2010XI;581;
BG322;2010XII;578;
BG322;2011I;569;
BG322;2011II;554;
BG322;2011III;585;
BG322;2011IV;588;
BG322;2011V;591;
BG322;2011VI;598;
BG322;2011VII;599;
BG322;2011VIII;581;
BG322;2011IX;601;
BG322;2011X;608;
BG322;2011XI;605;
BG322;2011XII;600;
BG322;2012I;571;
BG322;2012II;587;
BG322;2012III;613;
BG322;2012IV;633;
BG322;2012V;628;
BG322;2012VI;623;
BG322;2012VII;626;
BG322;2012VIII;612;
BG322;2012IX;634;
BG322;2012X;638;
BG322;2012XI;646;
BG322;2012XII;649;
BG322;2013I;637;
BG322;2013II;636;
BG322;2013III;658;
BG322;2013IV;652;
BG322;2013V;678;
BG322;2013VI;676;
BG322;2013VII;685;
BG322;2013VIII;669;
BG322;2013IX;698;
BG322;2013X;681;
BG322;2013XI;700;
BG322;2013XII;696;
BG322;2014I;661;
BG322;2014II;665;
BG322;2014III;694;
BG322;2014IV;697;
BG322;2014V;697;
BG322;2014VI;694;
BG322;2014VII;698;
BG322;2014VIII;676;
BG322;2014IX;689;
BG322;2014X;699;
BG322;2014XI;714;
BG322;2014XII;742;
BG322;2015I;718;
BG322;2015II;709;
BG322;2015III;749;
BG322;2015IV;757;
BG322;2015V;745;
BG322;2015VI;753;
BG322;2015VII;756;
BG322;2015VIII;736;
BG322;2015IX;769;
BG322;2015X;761;
BG322;2015XI;788;
BG322;2015XII;790;
BG322;2016I;760;
BG322;2016II;768;
BG322;2016III;813;
BG322;2016IV;801;
BG322;2016V;805;
BG322;2016VI;803;
BG322;2016VII;799;
BG322;2016VIII;778;
BG322;2016IX;809;
BG322;2016X;808;
BG322;2016XI;820;
BG322;2016XII;839;
BG322;2017I;805;
BG322;2017II;831;
BG322;2017III;865;
BG322;2017IV;874;
BG322;2017V;895;
BG322;2017VI;881;
BG322;2017VII;880;
BG322;2017VIII;856;
BG322;2017IX;915;
BG322;2017X;923;
BG322;2017XI;943;
BG322;2017XII;944;
BG322;2018I;917;
BG322;2018II;925;
BG322;2018III;955;
BG322;2018IV;975;
BG322;2018V;1013;
BG322;2018VI;982;
BG322;2018VII;979;
BG322;2018VIII;962;
BG322;2018IX;1007;
BG322;2018X;1008;
BG322;2018XI;1056;
BG322;2018XII;1029;
BG322;2019I;1031;
BG322;2019II;1051;
BG322;2019III;1094;
BG322;2019IV;1092;
BG322;2019V;1116;
BG322;2019VI;1117;
BG322;2019VII;1115;
BG322;2019VIII;1086;
BG322;2019IX;1116;
BG322;2019X;1123;
BG322;2019XI;1141;
BG322;2019XII;1145;
BG322;2020I;1149;
