;;хиляди левове;хиляди левове;хиляди левове;хиляди левове;левове;километър;километър;брой;брой;процент;процент;процент;процент;процент;процент;процент;процент;
;;Разходи за придобиване на ДМА;Оборот;Произведена продукция;Добавена стойност по факторни разходи;Средна годишна работна заплата на наетите лица по трудово и служебно правоотношение;Дължина на aвтомагистралите;Дължина на първокласните пътища;Население към 31.12. - общо;Среден списъчен брой на наети лица по трудово и служебно правоотношение;Коефициент на заетост - 15 - 64 навършени години;Относителен дял на населениeто на възраст между 25 и 64 навършени години с висше образование;Относителен дял на населението на възраст между 25 и 64 навършени години със средно образование;Относителен дял на населението на възраст между 25 и 64 навършени години с основно и по-ниско образование;Относителен дял на предприятията с до 9 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 10-49 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с 50-249 заети лица в общия брой предприятия за областта;Относителен дял на предприятията с повече от 250 заети лица в общия брой предприятия за областта;
VTR;2017;380853;4868259;3196660;1127251;9665;-;153;239132;67355;66.3;22.1;63.3;14.5;91.5;6.9;1.4;0.2;
VTR;2018;428132;5110680;3421861;1223457;10529;-;153;235708;66481;66.6;26.8;60.2;13.0;91.8;6.6;1.4;0.2;
GAB;2005;121082;1542676;1055850;394829;3602;-;86;135780;45370;63.0;23.6;54.5;21.9;88.3;9.2;2.2;0.3;
GAB;2006;149268;1865776;1286897;384819;3920;-;86;134490;45839;65.5;22.4;59.1;18.5;88.2;9.2;2.2;0.4;
GAB;2007;238933;2327473;1593906;502361;4701;-;86;133218;46764;66.9;21.0;66.4;12.6;88.6;8.9;2.2;0.3;
GAB;2008;250211;2592127;1749018;571256;5641;-;86;131911;46405;69.4;24.7;64.4;10.9;89.2;8.6;1.9;0.3;
GAB;2009;154879;2061131;1395583;490010;6112;-;86;130001;42243;64.2;27.8;59.9;12.4;90.5;7.6;1.6;0.3;
GAB;2010;106972;2184540;1492935;499904;6591;-;86;127750;39945;61.6;24.2;61.6;14.2;90.7;7.5;1.5;0.3;
GAB;2011;164290;2540051;1747707;549796;6827;-;86;121389;39810;59.6;25.0;61.5;13.5;91.0;7.1;1.6;0.3;
GAB;2012;142520;2652469;1871434;585329;7399;-;86;119971;39356;61.4;25.1;64.7;10.3;91.1;7.0;1.6;0.3;
GAB;2013;182708;2824889;1969467;583369;7912;-;86;118271;39233;65.8;24.9;65.4;9.8;90.9;7.3;1.5;0.3;
GAB;2014;304762;2805430;2003070;661463;8283;-;87;116351;38990;66.1;26.3;59.9;13.8;91.3;6.9;1.5;0.3;
GAB;2015;300031;2855119;2047554;716165;8826;-;86;114272;38935;67.4;26.8;61.9;11.3;91.7;6.6;1.4;0.3;
GAB;2016;229920;2998277;2105682;768129;9498;-;86;112334;39050;67.6;25.9;65.8;8.2;91.6;6.8;1.3;0.3;
GAB;2017;218648;3343915;2329172;817059;10522;-;86;110254;39260;67.1;26.5;62.3;11.2;91.6;6.7;1.4;0.3;
GAB;2018;231233;3517241;2493228;859150;11796;-;86;108404;38854;67.2;27.9;57.6;14.5;91.9;6.5;1.4;0.2;
RAZ;2005;90409;1017797;648510;230292;3264;-;56;139094;30794;43.0;13.3;40.3;46.4;89.7;8.2;1.8;0.3;
RAZ;2006;104347;1164554;682321;206342;3603;-;56;137853;29851;45.7;12.8;39.1;48.1;89.8;8.3;1.6;0.3;
RAZ;2007;156794;1438628;876613;271534;4202;-;56;136062;30444;46.0;12.9;43.6;43.5;89.8;8.3;1.6;0.3;
RAZ;2008;193160;1421247;1028011;297325;5172;-;56;134485;30410;49.7;14.2;44.2;41.6;90.2;8.1;1.5;0.3;
RAZ;2009;109470;1330234;901860;263838;5721;-;56;132740;28719;48.8;15.2;40.9;43.9;91.3;7.1;1.3;0.2;
RAZ;2010;87169;1464077;998839;313547;6071;-;56;130238;26239;46.4;12.1;43.3;44.7;91.9;6.6;1.3;0.2;
