"TIME","GEO","UNIT","Value"
"2016","BG323","Million units of national currency","2 370.61"
"2016","BG324","Million units of national currency","972.81"
"2016","BG325","Million units of national currency","689.86"
"2016","BG331","Million units of national currency","6 170.38"
"2016","BG332","Million units of national currency","1 508.94"
"2016","BG333","Million units of national currency","1 417.57"
"2016","BG334","Million units of national currency","1 000.8"
"2016","BG341","Million units of national currency","4 785.87"
"2016","BG342","Million units of national currency","1 221.22"
"2016","BG343","Million units of national currency","1 049.69"
"2016","BG344","Million units of national currency","5 283.22"
"2016","BG411","Million units of national currency","38 128.35"
"2016","BG412","Million units of national currency","3 164.96"
"2016","BG413","Million units of national currency","2 580.66"
"2016","BG414","Million units of national currency","869.48"
"2016","BG415","Million units of national currency","969.8"
"2016","BG421","Million units of national currency","7 574.21"
"2016","BG422","Million units of national currency","1 722.43"
"2016","BG423","Million units of national currency","1 992.3"
"2016","BG424","Million units of national currency","973.83"
"2016","BG425","Million units of national currency","1 038.43"
"2017","BG311","Million units of national currency","649.73"
"2017","BG312","Million units of national currency","1 171.03"
"2017","BG313","Million units of national currency","1 978.02"
"2017","BG314","Million units of national currency","1 940.54"
"2017","BG315","Million units of national currency","1 164.79"
"2017","BG321","Million units of national currency","2 234.36"
"2017","BG322","Million units of national currency","1 386.69"
"2017","BG323","Million units of national currency","2 495.14"
"2017","BG324","Million units of national currency","1 029.55"
"2017","BG325","Million units of national currency","751.44"
"2017","BG331","Million units of national currency","6 633.16"
"2017","BG332","Million units of national currency","1 598.04"
"2017","BG333","Million units of national currency","1 544.76"
"2017","BG334","Million units of national currency","1 021.05"
"2017","BG341","Million units of national currency","5 156.33"
"2017","BG342","Million units of national currency","1 337.45"
"2017","BG343","Million units of national currency","1 091.36"
"2017","BG344","Million units of national currency","5 616.86"
"2017","BG411","Million units of national currency","40 811.85"
"2017","BG412","Million units of national currency","3 686.13"
"2017","BG413","Million units of national currency","2 735.95"
"2017","BG414","Million units of national currency","964.7"
"2017","BG415","Million units of national currency","1 015.58"
"2017","BG421","Million units of national currency","8 150.73"
"2017","BG422","Million units of national currency","1 834.19"
"2017","BG423","Million units of national currency","2 126.69"
"2017","BG424","Million units of national currency","1 084.36"
"2017","BG425","Million units of national currency","1 134.62"
"2018","BG311","Million units of national currency","681.08"
"2018","BG312","Million units of national currency","1 183.14"
"2018","BG313","Million units of national currency","2 465.49"
"2018","BG314","Million units of national currency","2 131.97"
"2018","BG315","Million units of national currency","1 215.97"
"2018","BG321","Million units of national currency","2 478.37"
"2018","BG322","Million units of national currency","1 477.67"
"2018","BG323","Million units of national currency","2 589.79"
"2018","BG324","Million units of national currency","1 097.31"
"2018","BG325","Million units of national currency","772.9"
"2018","BG331","Million units of national currency","7 304.31"
"2018","BG332","Million units of national currency","1 606.35"
"2018","BG333","Million units of national currency","1 623.13"
"2018","BG334","Million units of national currency","1 118.75"
"2018","BG341","Million units of national currency","5 174.21"
"2018","BG342","Million units of national currency","1 425.39"
"2018","BG343","Million units of national currency","1 160.75"
"2018","BG344","Million units of national currency","5 490.19"
"2018","BG411","Million units of national currency","44 383.47"
"2018","BG412","Million units of national currency","3 606.78"
"2018","BG413","Million units of national currency","2 985.5"
"2018","BG414","Million units of national currency","1 113.97"
"2018","BG415","Million units of national currency","1 115.35"
"2018","BG421","Million units of national currency","8 796.07"
"2018","BG422","Million units of national currency","1 963.65"
"2018","BG423","Million units of national currency","2 366.12"
"2018","BG424","Million units of national currency","1 127.51"
"2018","BG425","Million units of national currency","1 288.23"
"2019","BG311","Million units of national currency",":"
"2019","BG312","Million units of national currency",":"
"2019","BG313","Million units of national currency",":"
"2019","BG314","Million units of national currency",":"
"2019","BG315","Million units of national currency",":"
"2019","BG321","Million units of national currency",":"
"2019","BG322","Million units of national currency",":"
"2019","BG323","Million units of national currency",":"
"2019","BG324","Million units of national currency",":"
"2019","BG325","Million units of national currency",":"
"2019","BG331","Million units of national currency",":"
"2019","BG332","Million units of national currency",":"
"2019","BG333","Million units of national currency",":"
"2019","BG334","Million units of national currency",":"
"2019","BG341","Million units of national currency",":"
"2019","BG342","Million units of national currency",":"
"2019","BG343","Million units of national currency",":"
"2019","BG344","Million units of national currency",":"
"2019","BG411","Million units of national currency",":"
"2019","BG412","Million units of national currency",":"
"2019","BG413","Million units of national currency",":"
"2019","BG414","Million units of national currency",":"
"2019","BG415","Million units of national currency",":"
"2019","BG421","Million units of national currency",":"
"2019","BG422","Million units of national currency",":"
"2019","BG423","Million units of national currency",":"
"2019","BG424","Million units of national currency",":"
"2019","BG425","Million units of national currency",":"
